赛季,周数,选手名,裁判总分,估计粉丝票,死忠粉票,路人票,路人票占比,组合得分,预测淘汰,实际淘汰,预测正确
7,1,Kim Kardashian,18.5,3254.0,713.0,2541.0,0.219,0.123,False,False,True
7,1,Lance Bass,21.5,7405.0,856.0,6549.0,0.116,0.197,False,False,True
7,1,Maurice Greene,19.5,5919.0,763.0,5156.0,0.129,0.167,False,False,True
7,1,Misty May-Treanor,21.0,3025.0,804.0,2221.0,0.266,0.129,False,False,True
7,1,Rocco DiSpirito,17.5,4244.0,688.0,3556.0,0.162,0.133,False,False,True
7,1,Susan Lucci,18.5,3714.0,743.0,2971.0,0.2,0.129,False,False,True
7,1,Ted McGinley,18.5,4825.0,702.0,4123.0,0.145,0.146,False,True,True
7,1,Toni Braxton,22.5,5568.0,877.0,4692.0,0.157,0.173,False,False,True
7,1,Warren Sapp,21.5,6937.0,809.0,6128.0,0.117,0.19,False,False,True
7,2,Brooke Burke,24.0,5334.0,1206.0,4128.0,0.226,0.19,False,False,True
7,2,Cloris Leachman,15.0,9028.0,737.0,8292.0,0.082,0.206,False,False,True
7,2,Cody Linley,21.0,6894.0,1012.0,5883.0,0.147,0.201,False,False,True
7,2,Kim Kardashian,17.0,3454.0,857.0,2597.0,0.248,0.13,True,True,True
7,2,Lance Bass,20.0,6496.0,977.0,5520.0,0.15,0.19,False,False,True
7,2,Maurice Greene,19.0,6868.0,926.0,5942.0,0.135,0.191,False,False,True
7,2,Misty May-Treanor,21.0,2959.0,1034.0,1925.0,0.349,0.14,False,True,True
7,2,Rocco DiSpirito,16.0,5484.0,766.0,4718.0,0.14,0.157,False,False,True
7,2,Susan Lucci,21.0,5659.0,1003.0,4656.0,0.177,0.182,False,False,True
7,2,Toni Braxton,23.0,5486.0,1139.0,4347.0,0.208,0.188,False,False,True
7,2,Warren Sapp,24.0,7491.0,1197.0,6294.0,0.16,0.224,False,False,True
7,3,Brooke Burke,28.0,5994.0,1675.0,4319.0,0.279,0.237,False,False,False
7,3,Cloris Leachman,16.0,8617.0,970.0,7647.0,0.113,0.219,False,False,False
7,3,Cody Linley,21.0,7113.0,1251.0,5862.0,0.176,0.22,False,False,False
7,3,Lance Bass,22.0,8261.0,1327.0,6934.0,0.161,0.243,False,False,False
7,3,Maurice Greene,24.0,6647.0,1442.0,5205.0,0.217,0.227,False,False,False
7,3,Rocco DiSpirito,20.0,6522.0,1181.0,5341.0,0.181,0.205,False,False,False
7,3,Susan Lucci,21.0,5441.0,1235.0,4206.0,0.227,0.193,True,False,False
7,3,Toni Braxton,22.0,6538.0,1260.0,5278.0,0.193,0.215,False,False,False
7,3,Warren Sapp,25.0,7209.0,1478.0,5730.0,0.205,0.241,False,False,False
7,4,Brooke Burke,26.0,6229.0,1606.0,4622.0,0.258,0.219,False,False,True
7,4,Cloris Leachman,22.0,8956.0,1418.0,7538.0,0.158,0.239,False,False,True
7,4,Cody Linley,23.0,7805.0,1434.0,6371.0,0.184,0.227,False,False,True
7,4,Lance Bass,26.0,9926.0,1644.0,8282.0,0.166,0.273,False,False,True
7,4,Maurice Greene,20.0,7012.0,1278.0,5733.0,0.182,0.201,False,False,True
7,4,Rocco DiSpirito,18.0,6827.0,1154.0,5672.0,0.169,0.188,True,True,True
7,4,Susan Lucci,24.0,5550.0,1518.0,4033.0,0.273,0.199,False,False,True
7,4,Toni Braxton,22.0,7575.0,1431.0,6143.0,0.189,0.219,False,False,True
